time,Seconds,Latitude,Longitude,Absolute pedal position D (%),Vehicle acceleration (g),Vehicle speed (mph)
0 days 08:03:16.879000,774.719,40.19104348,-111.64719988,15.0,-0.0039064110185294,62.7584904159707
0 days 08:03:18.883000,776.723,40.19054386,-111.64707468,23.0,-0.0071611288830124,62.1371192237334
0 days 08:03:20.932000,778.772,40.19004099,-111.64698584,15.0,-0.0135361216944647,60.8943768392587
0 days 08:03:22.283000,780.123,40.18979859,-111.64694526,18.0,-0.0135361216944647,60.8943768392587
0 days 08:03:24.549000,782.389,40.18906342,-111.6468605,18.0,-0.0204533539480673,59.6516344547841
0 days 08:03:26.524000,784.364,40.18855371,-111.64682355,32.0,-0.0204533539480673,60.8943768392587
0 days 08:03:28.319000,786.159,40.18801611,-111.64681737,29.0,-0.0204533539480673,62.1371192237334
0 days 08:03:30.194000,788.034,40.18779808,-111.64680166,36.0,-0.0204533539480673,64.0012328004454
0 days 08:03:32.015000,789.855,40.18726908,-111.64678755,30.0,0.0283669476590548,64.6226039926827
0 days 08:03:33.599000,791.439,40.18673509,-111.64677926,21.0,0.0283669476590548,64.0012328004454
0 days 08:03:35.722000,793.562,40.18622808,-111.64678291,28.0,0.0283669476590548,64.6226039926827
0 days 08:03:37.226000,795.066,40.1857759,-111.64683084,32.0,0.0283669476590548,65.8653463771574
0 days 08:03:39.029000,796.869,40.18547468,-111.64683561,32.0,0.0283669476590548,67.1080887616321
0 days 08:03:40.818000,798.658,40.18491108,-111.64685317,28.0,0.0239522214353355,67.7294599538694
0 days 08:03:42.763000,800.603,40.18433613,-111.64687818,25.0,0.0254440750910595,68.3508311461067
0 days 08:03:44.643000,802.483,40.18377788,-111.64689117,21.0,0.0162125539696669,68.3508311461067
0 days 08:03:46.269000,804.109,40.18354705,-111.64689478,23.0,0.007646999376762,68.3508311461067
0 days 08:03:47.974000,805.814,40.18296221,-111.64685945,26.0,0.0041029527624018,68.3508311461067
0 days 08:03:49.909000,807.749,40.18244964,-111.64686464,22.0,-0.0041135100976242,67.7294599538694
0 days 08:03:51.423000,809.263,40.18187219,-111.6468619,21.0,-0.0037469884164271,67.7294599538694
0 days 08:03:53.258000,811.098,40.18131462,-111.64684503,27.0,-0.0039684156349332,67.7294599538694
0 days 08:03:55.270000,813.11,40.18074785,-111.64685757,27.0,-0.0039684156349332,68.3508311461067
0 days 08:03:57.055000,814.895,40.18053007,-111.6468579,25.0,0.0070336587340171,68.9722023383441
0 days 08:03:58.637000,816.477,40.1799069,-111.64684599,25.0,0.0118139942397415,69.5935735305814
0 days 08:04:00.754000,818.594,40.1793736,-111.64686966,28.0,0.0149935494279234,70.2149447228187
0 days 08:04:02.291000,820.131,40.17883274,-111.6468627,25.0,0.0150040910251009,70.8363159150561
0 days 08:04:04.006000,821.846,40.17853255,-111.64685407,24.0,0.012163887825858,70.8363159150561
0 days 08:04:05.964000,823.804,40.17791669,-111.64687046,25.0,0.0073588302273799,70.8363159150561
0 days 08:04:07.823000,825.663,40.17725983,-111.6468566,23.0,0.0038542911901105,70.8363159150561
0 days 08:04:09.274000,827.114,40.17673306,-111.64685677,27.0,0.0,70.8363159150561
0 days 08:04:11.296000,829.136,40.17642877,-111.64685191,27.0,0.0,70.8363159150561
0 days 08:04:12.656000,830.496,40.17591547,-111.64686357,22.0,0.0,70.8363159150561
0 days 08:04:14.305000,832.145,40.17529595,-111.64687963,25.0,0.0,70.8363159150561
0 days 08:04:16.222000,834.062,40.1749888,-111.64690652,21.0,-0.0040846731656566,70.2149447228187
0 days 08:04:18.067000,835.907,40.17444837,-111.64690663,26.0,-0.0039834014071158,70.2149447228187
0 days 08:04:19.648000,837.488,40.17386668,-111.64690216,26.0,-0.0035904672070443,70.2149447228187
