Absolute pedal position D (%),Vehicle acceleration (g),Vehicle speed (mph)
15.0,-0.009321532150256,24.233476497256
15.0,-0.009321532150256,24.233476497256
15.0,-0.009321532150256,24.233476497256
15.0,-0.009321532150256,22.369362920544
15.0,-0.009321532150256,20.505249343832
15.0,-0.0446053050107898,17.3983933826453
15.0,-0.0625238684591262,13.6701662292213
15.0,-0.0796583504450708,9.94193907579734
15.0,-0.0796583504450708,11.184681460272
22.0,-0.0796583504450708,16.1556509981707
15.0,-0.0796583504450708,16.1556509981707
15.0,-0.0796583504450708,22.9907341127814
15.0,0.0742633349590918,24.8548476894934
15.0,0.077058829871086,27.3403324584427
15.0,0.0653773307220609,29.825817227392
15.0,0.0653773307220609,29.825817227392
15.0,0.0653773307220609,29.825817227392
15.0,0.0653773307220609,26.7189612662054
15.0,0.0653773307220609,21.7479917283067
15.0,-0.0509086012709209,15.5342798059333
17.0,-0.0916230826427148,9.32056788356001
26.0,-0.110931170202967,8.69919669132267
15.0,-0.110931170202967,13.6701662292213
15.0,-0.110931170202967,17.3983933826453
25.0,-0.110931170202967,21.1266205360694
25.0,0.0952188940181716,24.233476497256
15.0,0.0724824337992686,25.4762188817307
15.0,0.0563027932186536,27.3403324584427
15.0,0.0563027932186536,27.3403324584427
15.0,0.0355243315383126,29.2044460351547
15.0,0.0187863834443734,29.825817227392
15.0,0.0187863834443734,29.825817227392
15.0,0.0166676847077898,31.0685596118667
15.0,0.0108030088677841,31.0685596118667
15.0,0.0108030088677841,26.7189612662054
15.0,-0.052032083301309,21.1266205360694
15.0,-0.0947788113552734,15.5342798059333
29.0,-0.13651436373585,9.32056788356001
25.0,-0.13651436373585,13.048795036984
25.0,-0.13651436373585,18.0197645748827
29.0,-0.13651436373585,22.369362920544
18.0,0.0853532817575423,24.8548476894934
18.0,0.0781632819175093,27.3403324584427
15.0,0.0515782549907619,27.3403324584427
15.0,0.0272386961819954,27.3403324584427
15.0,0.0,24.8548476894934
15.0,-0.0508330260344241,18.64113576712
15.0,-0.0508330260344241,18.64113576712
26.0,-0.0818892913074296,10.5633102680347
15.0,-0.0818892913074296,15.5342798059333
15.0,-0.0818892913074296,19.8838781515947
27.0,-0.0818892913074296,24.233476497256
27.0,0.108349893976846,27.96170365068
23.0,0.0780422307681598,29.2044460351547
23.0,0.0623811850025937,30.4471884196294
15.0,0.0452123730432044,31.689930804104
25.0,0.0284684863557757,32.9326731885787
24.0,0.0284684863557757,32.9326731885787
24.0,0.0240856014263449,34.1754155730534
15.0,0.0184726595901533,34.1754155730534
15.0,0.0184726595901533,34.1754155730534
15.0,0.0184726595901533,31.0685596118667
15.0,-0.010249617035616,30.4471884196294
15.0,-0.0271045260797514,28.5830748429174
15.0,-0.0407624345468523,25.4762188817307
15.0,-0.0618344324093775,19.8838781515947
15.0,-0.0904780205879893,14.2915374214587
15.0,-0.115473329363674,8.69919669132267
15.0,-0.108571484745705,6.21371192237334
16.0,-0.108571484745705,8.69919669132267
30.0,-0.108571484745705,13.048795036984
32.0,-0.108571484745705,17.3983933826453
32.0,0.105686663639004,23.6121053050187
30.0,0.104815886322172,26.097590073968
31.0,0.103696496520363,31.0685596118667
15.0,0.10115526496872,32.9326731885787
15.0,0.0630680179384144,33.554044380816
23.0,0.0492078565996444,34.1754155730534
